Tipo de Relatório: Medidas Consolidadas;;;;;;;;;;
Tipo de Agente: Conectante | Nome: RIOGALEAO;;;;;;;;;;
Periodo Solicitado de 01/09/2019 até 30/09/2019;;;;;;;;;;
Ponto de Medição;Data de Consolidação;Hora de Consolidação;Tipo de Energia;Ativa Geração (kWh);Ativa Consumo (kWh);Reativa Geração (kVArh);Reativa Consumo (kVArh);Qt Intervalos Faltantes;Situação da Medida;Motivo da Situação
RJAEG-TR1--01;01/09/2019;1;Liquida;0;12726;0;1810,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;2;Liquida;0;12406,8;0;1608,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;3;Liquida;0;12364,8;0;1579,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;4;Liquida;0;12356,4;0;1638;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;5;Liquida;0;12415,2;0;1621,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;6;Liquida;0;12667,2;0;1696,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;7;Liquida;0;11961,6;0;1272,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;8;Liquida;0;11827,2;0;1192,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;9;Liquida;0;12138;0;1213,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;10;Liquida;0;12217,8;0;1251,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;11;Liquida;0;12331,2;0;1377,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;12;Liquida;0;12272,4;0;1289,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;13;Liquida;0;12381,6;0;1339,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;14;Liquida;0;12381,6;0;1365;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;15;Liquida;0;12276,6;0;1318,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;16;Liquida;0;12268,2;0;1318,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;17;Liquida;0;12394,2;0;1318,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;18;Liquida;0;12961,2;0;1701;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;19;Liquida;0;13696,2;0;2259,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;20;Liquida;0;13524;0;2116,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;21;Liquida;0;12465,6;0;1772,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;22;Liquida;0;11629,8;0;1306,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;23;Liquida;0;12222;0;1495,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;01/09/2019;24;Liquida;0;12835,2;0;1835,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;1;Liquida;0;12453;0;1596;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;2;Liquida;0;12142,2;0;1449;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;3;Liquida;0;12133,8;0;1495,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;4;Liquida;0;12049,8;0;1507,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;5;Liquida;0;12087,6;0;1478,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;6;Liquida;0;12398,4;0;1549,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;7;Liquida;0;12285;0;1419,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;8;Liquida;0;12432;0;1432,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;9;Liquida;0;12759,6;0;1583,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;10;Liquida;0;13007,4;0;1604,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;11;Liquida;0;13183,8;0;1575;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;12;Liquida;0;13083;0;1503,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;13;Liquida;0;13221,6;0;1541,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;14;Liquida;0;13402,2;0;1684,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;15;Liquida;0;13524;0;1776,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;16;Liquida;0;13641,6;0;1818,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;17;Liquida;0;13368,6;0;1747,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;18;Liquida;0;13742,4;0;2108,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;19;Liquida;0;14368,2;0;2595,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;20;Liquida;0;14120,4;0;2511,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;21;Liquida;0;13851,6;0;2284,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;22;Liquida;0;13566;0;2133,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;23;Liquida;0;13221,6;0;2053,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;02/09/2019;24;Liquida;0;12898,2;0;1843,8;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;1;Liquida;0;12625,2;0;1701;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;2;Liquida;0;12604,2;0;1730,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;3;Liquida;0;12457,2;0;1684,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;4;Liquida;0;12394,2;0;1701;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;5;Liquida;0;12524,4;0;1776,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;6;Liquida;0;12831;0;1818,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;7;Liquida;0;12369;0;1440,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;8;Liquida;0;12457,2;0;1377,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;9;Liquida;0;12818,4;0;1499,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;10;Liquida;0;13347,6;0;1776,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;11;Liquida;0;13582,8;0;1869;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;12;Liquida;0;13591,2;0;1814,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;13;Liquida;0;13944;0;1932;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;14;Liquida;0;14120,4;0;2041,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;15;Liquida;0;13603,8;0;1835,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;16;Liquida;0;13738,2;0;1898,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;17;Liquida;0;13650;0;1898,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;18;Liquida;0;14019,6;0;2230,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;19;Liquida;0;14364;0;2541;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;20;Liquida;0;14128,8;0;2486,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;21;Liquida;0;14082,6;0;2478;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;22;Liquida;0;13717,2;0;2301,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;23;Liquida;0;13314;0;2062,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;03/09/2019;24;Liquida;0;13011,6;0;1932;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;1;Liquida;0;12726;0;1797,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;2;Liquida;0;12406,8;0;1646,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;3;Liquida;0;12314,4;0;1625,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;4;Liquida;0;12373,2;0;1688,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;5;Liquida;0;12524,4;0;1751,4;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;6;Liquida;0;12843,6;0;1852,2;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;7;Liquida;0;12612,6;0;1692,6;0;Hora Completa Consistente;Consistido
RJAEG-TR1--01;04/09/2019;8;Liquida;0;12570,6;0;1453,2;0;Hora Completa Consistente;Consistido
